id,name,ability,type,classfication,hp,attack,defense,sp_attack,sp_defense,speed,pokedex_number,capture_rate,height_m,weight_kg,generation,is_legendary,percentage_male,experience_growth,image
24,Arbok,Intimidate,poison,Cobra Pokemon,60,95,69,65,79,80,24,90,3.5,65,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,Pikachu,Static,electric,Mouse Pokemon,35,55,40,50,50,90,25,190,0.4,6,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,Raichu,Static,electric,Mouse Pokemon,60,85,50,95,85,110,26,75,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,Sandshrew,Sand Veil,ground,Mouse Pokemon,50,75,90,10,35,40,27,255,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,Sandslash,Sand Veil,ground,Mouse Pokemon,75,100,120,25,65,65,28,90,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,Nidoraa,Poison Point,poison,Poison Pin Pokemon,55,47,52,40,40,41,29,235,0.4,7,1,0,0,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,Nidorina,Poison Point,poison,Poison Pin Pokemon,70,62,67,55,55,56,30,120,0.8,20,1,0,0,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,Nidoqueen,Poison Point,poison,Drill Pokemon,90,92,87,75,85,76,31,45,1.3,60,1,0,0,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,Nidorana,Poison Point,poison,Poison Pin Pokemon,46,57,40,40,40,50,32,235,0.5,9,1,0,100,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,Nidorino,Poison Point,poison,Poison Pin Pokemon,61,72,57,55,55,65,33,120,0.9,19.5,1,0,100,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,Nidoking,Poison Point,poison,Drill Pokemon,81,102,77,85,75,85,34,45,1.4,62,1,0,100,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,Clefairy,Cute Charm,fairy,Fairy Pokemon,70,45,48,60,65,35,35,150,0.6,7.5,1,0,24.6,800000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,Clefable,Cute Charm,fairy,Fairy Pokemon,95,70,73,95,90,60,36,25,1.3,40,1,0,24.6,800000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,Vulpix,Flash Fire,fire,Fox Pokemon,38,41,40,50,65,65,37,190,,,1,0,24.6,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,Ninetales,Flash Fire,fire,Fox Pokemon,73,67,75,81,100,109,38,75,,,1,0,24.6,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,Jigglypuff,Cute Charm,normal,Balloon Pokemon,115,45,20,45,25,20,39,170,0.5,5.5,1,0,24.6,800000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,Wigglytuff,Cute Charm,normal,Balloon Pokemon,140,70,45,85,50,45,40,50,1,12,1,0,24.6,800000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,Zubat,Inner Focus,poison,Bat Pokemon,40,45,35,30,40,55,41,255,0.8,7.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,Golbat,Inner Focus,poison,Bat Pokemon,75,80,70,65,75,90,42,90,1.6,55,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,Oddish,Chlorophyll,grass,Weed Pokemon,45,50,55,75,65,30,43,255,0.5,5.4,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,Gloom,Chlorophyll,grass,Weed Pokemon,60,65,70,85,75,40,44,120,0.8,8.6,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,Vileplume,Chlorophyll,grass,Flower Pokemon,75,80,85,110,90,50,45,45,1.2,18.6,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,Paras,Effect Spore,bug,Mushroom Pokemon,35,70,55,45,55,25,46,190,0.3,5.4,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,Parasect,Effect Spore,bug,Mushroom Pokemon,60,95,80,60,80,30,47,75,1,29.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,Venonat,Compoundeyes,bug,Insect Pokemon,60,55,50,40,55,45,48,190,1,30,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,Venomoth,Shield Dust,bug,Poison Moth Pokemon,70,65,60,90,75,90,49,75,1.5,12.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,Diglett,Sand Veil,ground,Mole Pokemon,10,55,30,35,45,90,50,255,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,Dugtrio,Sand Veil,ground,Mole Pokemon,35,100,60,50,70,110,51,50,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,Meowth,Pickup,normal,Scratch Cat Pokemon,40,35,35,50,40,90,52,255,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,Persian,Limber,normal,Classy Cat Pokemon,65,60,60,75,65,115,53,90,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,Psyduck,Damp,water,Duck Pokemon,50,52,48,65,50,55,54,190,0.8,19.6,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,Golduck,Damp,water,Duck Pokemon,80,82,78,95,80,85,55,75,1.7,76.6,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,Mankey,Vital Spirit,fighting,Pig Monkey Pokemon,40,80,35,35,45,70,56,190,0.5,28,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,Primeape,Vital Spirit,fighting,Pig Monkey Pokemon,65,105,60,60,70,95,57,75,1,32,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,Growlithe,Intimidate,fire,Puppy Pokemon,55,70,45,70,50,60,58,190,0.7,19,1,0,75.4,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,Arcanine,Intimidate,fire,Legendary Pokemon,90,110,80,100,80,95,59,75,1.9,155,1,0,75.4,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,Poliwag,Water Absorb,water,Tadpole Pokemon,40,50,40,40,40,90,60,255,0.6,12.4,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,Poliwhirl,Water Absorb,water,Tadpole Pokemon,65,65,65,50,50,90,61,120,1,20,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,Poliwrath,Water Absorb,water,Tadpole Pokemon,90,95,95,70,90,70,62,45,1.3,54,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,Abra,Synchronize,psychic,Psi Pokemon,25,20,15,105,55,90,63,200,0.9,19.5,1,0,75.4,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,Kadabra,Synchronize,psychic,Psi Pokemon,40,35,30,120,70,105,64,100,1.3,56.5,1,0,75.4,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,Alakazam,Synchronize,psychic,Psi Pokemon,55,50,65,175,105,150,65,50,1.5,48,1,0,75.4,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,Machop,Guts,fighting,Superpower Pokemon,70,80,50,35,35,35,66,180,0.8,19.5,1,0,75.4,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,Machoke,Guts,fighting,Superpower Pokemon,80,100,70,50,60,45,67,90,1.5,70.5,1,0,75.4,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,Machamp,Guts,fighting,Superpower Pokemon,90,130,80,65,85,55,68,45,1.6,130,1,0,75.4,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,Bellsprout,Chlorophyll,grass,Flower Pokemon,50,75,35,70,30,40,69,255,0.7,4,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,Weepinbell,Chlorophyll,grass,Flycatcher Pokemon,65,90,50,85,45,55,70,120,1,6.4,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,Victreebel,Chlorophyll,grass,Flycatcher Pokemon,80,105,65,100,70,70,71,45,1.7,15.5,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,Tentacool,Clear Body,water,Jellyfish Pokemon,40,40,35,50,100,70,72,190,0.9,45.5,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,Tentacruel,Clear Body,water,Jellyfish Pokemon,80,70,65,80,120,100,73,60,1.6,55,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,Geodude,Rock Head,rock,Rock Pokemon,40,80,100,30,30,20,74,255,,,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,Graveler,Rock Head,rock,Rock Pokemon,55,95,115,45,45,35,75,120,,,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,Golem,Rock Head,rock,Megaton Pokemon,80,120,130,55,65,45,76,45,,,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,Ponyta,Run Away,fire,Fire Horse Pokemon,50,85,55,65,65,90,77,190,1,30,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
78,Rapidash,Run Away,fire,Fire Horse Pokemon,65,100,70,80,80,105,78,60,1.7,95,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
79,Slowpoke,Oblivious,water,Dopey Pokemon,90,65,65,40,40,15,79,190,1.2,36,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
80,Slowbro,Oblivious,water,Hermit Crab Pokemon,95,75,180,130,80,30,80,75,1.6,78.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
81,Magnemite,Magnet Pull,electric,Magnet Pokemon,25,35,70,95,55,45,81,190,0.3,6,1,0,,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,Magneton,Magnet Pull,electric,Magnet Pokemon,50,60,95,120,70,70,82,60,1,60,1,0,,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,Farfetch'd,Keen Eye,normal,Wild Duck Pokemon,52,90,55,58,62,60,83,45,0.8,15,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
84,Doduo,Run Away,normal,Twin Bird Pokemon,35,85,45,35,35,75,84,190,1.4,39.2,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,Dodrio,Run Away,normal,Triple Bird Pokemon,60,110,70,60,60,110,85,45,1.8,85.2,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,Seel,Thick Fat,water,Sea Lion Pokemon,65,45,55,45,70,45,86,190,1.1,90,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,Dewgong,Thick Fat,water,Sea Lion Pokemon,90,70,80,70,95,70,87,75,1.7,120,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,Grimer,Stench,poison,Sludge Pokemon,80,80,50,40,50,25,88,190,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
89,Muk,Stench,poison,Sludge Pokemon,105,105,75,65,100,50,89,75,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
90,Shellder,Shell Armor,water,Bivalve Pokemon,30,65,100,45,25,40,90,190,0.3,4,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,Cloyster,Shell Armor,water,Bivalve Pokemon,50,95,180,85,45,70,91,60,1.5,132.5,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,Gastly,Levitate,ghost,Gas Pokemon,30,35,30,100,35,80,92,190,1.3,0.1,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,Haunter,Levitate,ghost,Gas Pokemon,45,50,45,115,55,95,93,90,1.6,0.1,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,Gengar,Cursed Body,ghost,Shadow Pokemon,60,65,80,170,95,130,94,45,1.5,40.5,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
95,Onix,Rock Head,rock,Rock Snake Pokemon,35,45,160,30,45,70,95,45,8.8,210,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,Drowzee,Insomnia,psychic,Hypnosis Pokemon,60,48,45,43,90,42,96,190,1,32.4,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,Hypno,Insomnia,psychic,Hypnosis Pokemon,85,73,70,73,115,67,97,75,1.6,75.6,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,Krabby,Hyper Cutter,water,River Crab Pokemon,30,105,90,25,25,50,98,225,0.4,6.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,Kingler,Hyper Cutter,water,Pincer Pokemon,55,130,115,50,50,75,99,60,1.3,60,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,Voltorb,Soundproof,electric,Ball Pokemon,40,30,50,55,55,100,100,190,0.5,10.4,1,0,,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
101,Electrode,Soundproof,electric,Ball Pokemon,60,50,70,80,80,150,101,60,1.2,66.6,1,0,,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
102,Exeggcute,Chlorophyll,grass,Egg Pokemon,60,40,80,60,45,40,102,90,0.4,2.5,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,Exeggutor,Chlorophyll,grass,Coconut Pokemon,95,105,85,125,75,45,103,45,,,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
104,Cubone,Rock Head,ground,Lonely Pokemon,50,50,95,40,50,35,104,190,0.4,6.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,Marowak,Rock Head,ground,Bone Keeper Pokemon,60,80,110,50,80,45,105,75,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
106,Hitmonlee,Limber,fighting,Kicking Pokemon,50,120,53,35,110,87,106,45,1.5,49.8,1,0,100,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,Hitmonchan,Keen Eye,fighting,Punching Pokemon,50,105,79,35,110,76,107,45,1.4,50.2,1,0,100,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,Lickitung,Own Tempo,normal,Licking Pokemon,90,55,75,60,75,30,108,45,1.2,65.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,Koffing,Levitate,poison,Poison Gas Pokemon,40,65,95,60,45,35,109,190,0.6,1,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,Weezing,Levitate,poison,Poison Gas Pokemon,65,90,120,85,70,60,110,60,1.2,9.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
111,Rhyhorn,Lightningrod,ground,Spikes Pokemon,80,85,95,30,30,25,111,120,1,115,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,Rhydon,Lightningrod,ground,Drill Pokemon,105,130,120,45,45,40,112,60,1.9,120,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
113,Chansey,Natural Cure,normal,Egg Pokemon,250,5,5,35,105,50,113,30,1.1,34.6,1,0,0,800000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
114,Tangela,Chlorophyll,grass,Vine Pokemon,65,55,115,100,40,60,114,45,1,35,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
115,Kangaskhan,Early Bird,normal,Parent Pokemon,105,125,100,60,100,100,115,45,2.2,80,1,0,0,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
116,Horsea,Swift Swim,water,Dragon Pokemon,30,40,70,70,25,60,116,225,0.4,8,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
117,Seadra,Poison Point,water,Dragon Pokemon,55,65,95,95,45,85,117,75,1.2,25,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
118,Goldeen,Swift Swim,water,Goldfish Pokemon,45,67,60,35,50,63,118,225,0.6,15,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
119,Seaking,Swift Swim,water,Goldfish Pokemon,80,92,65,65,80,68,119,60,1.3,39,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
120,Staryu,Illuminate,water,Starshape Pokemon,30,45,55,70,55,85,120,225,0.8,34.5,1,0,,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
121,Starmie,Illuminate,water,Mysterious Pokemon,60,75,85,100,85,115,121,60,1.1,80,1,0,,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
122,Mr. Mime,Soundproof,psychic,Barrier Pokemon,40,45,65,100,120,90,122,45,1.3,54.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
123,Scyther,Swarm,bug,Mantis Pokemon,70,110,80,55,80,105,123,45,1.5,56,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
124,Jynx,Oblivious,ice,Humanshape Pokemon,65,50,35,115,95,95,124,45,1.4,40.6,1,0,0,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
125,Electabuzz,Static,electric,Electric Pokemon,65,83,57,95,85,105,125,45,1.1,30,1,0,75.4,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
126,Magmar,Flame Body,fire,Spitfire Pokemon,65,95,57,100,85,93,126,45,1.3,44.5,1,0,75.4,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
127,Pinsir,Hyper Cutter,bug,Stagbeetle Pokemon,65,155,120,65,90,105,127,45,1.5,55,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
128,Tauros,Intimidate,normal,Wild Bull Pokemon,75,100,95,40,70,110,128,45,1.4,88.4,1,0,100,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
129,Magikarp,Swift Swim,water,Fish Pokemon,20,10,55,15,20,80,129,255,0.9,10,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
130,Gyarados,Intimidate,water,Atrocious Pokemon,95,155,109,70,130,81,130,45,6.5,235,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
131,Lapras,Water Absorb,water,Transport Pokemon,130,85,80,85,95,60,131,45,2.5,220,1,0,50,1250000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
132,Ditto,Limber,normal,Transform Pokemon,48,48,48,48,48,48,132,35,0.3,4,1,0,,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
133,Eevee,Run Away,normal,Evolution Pokemon,55,55,50,45,65,55,133,45,0.3,6.5,1,0,88.1,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
134,Vaporeon,Water Absorb,water,Bubble Jet Pokemon,130,65,60,110,95,65,134,45,1,29,1,0,88.1,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
135,Jolteon,Volt Absorb,electric,Lightning Pokemon,65,65,60,110,95,130,135,45,0.8,24.5,1,0,88.1,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
136,Flareon,Flash Fire,fire,Flame Pokemon,65,130,60,95,110,65,136,45,0.9,25,1,0,88.1,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
137,Porygon,Trace,normal,Virtual Pokemon,65,60,70,85,75,40,137,45,0.8,36.5,1,0,,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
138,Omanyte,Swift Swim,rock,Spiral Pokemon,35,40,100,90,55,35,138,45,0.4,7.5,1,0,88.1,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
